COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST - Republican,BALLOTS CAST - Democratic,"REP Circuit Court Judge, Div. 2","REP Circuit Court Judge, Div. 2",REP County Mayor,REP County Mayor,"REP County Commission, District 1","REP County Commission, District 1","REP County Commission, District 2","REP County Commission, District 2","REP County Commission, District 2","REP County Commission, District 3","REP County Commission, District 3","REP County Commission, District 4","REP County Commission, District 4","REP County Commission, District 5","REP County Commission, District 5","REP County Commission, District 6","REP County Commission, District 6","REP County Commission, District 7","REP County Commission, District 7","REP County Commission, District 8","REP County Commission, District 8","REP County Commission, District 9","REP County Commission, District 9","REP County Commission, District 9","REP County Commission, District 10","REP County Commission, District 10","REP County Commission, District 10","REP County Commission, District 11","REP County Commission, District 11",REP County Trustee,REP County Trustee,REP Sheriff,REP Sheriff,REP Circuit Court Clerk,REP Circuit Court Clerk,REP Criminal Court Clerk,REP Criminal Court Clerk,REP Criminal Court Clerk,REP Juvenile Court Clerk,REP Juvenile Court Clerk,REP County Clerk,REP County Clerk,REP Register of Deeds,REP Register of Deeds,"REP County School Board, District 3","REP County School Board, District 3","REP County School Board, District 5","REP County School Board, District 5","REP County School Board, District 6","REP County School Board, District 6","REP County School Board, District 8","REP County School Board, District 8","REP County School Board, District 8","REP County School Board, District 9","REP County School Board, District 9","REP County School Board, District 9",REP Lookout Mountain School Board,REP Lookout Mountain School Board,"DEM Circuit Court Judge, Div. 2","DEM Circuit Court Judge, Div. 2",DEM County Mayor,DEM County Mayor,"DEM County Commission, District 1","DEM County Commission, District 1","DEM County Commission, District 2","DEM County Commission, District 2","DEM County Commission, District 3","DEM County Commission, District 3","DEM County Commission, District 4","DEM County Commission, District 4","DEM County Commission, District 4","DEM County Commission, District 5","DEM County Commission, District 5","DEM County Commission, District 5","DEM County Commission, District 6","DEM County Commission, District 6","DEM County Commission, District 7","DEM County Commission, District 7","DEM County Commission, District 8","DEM County Commission, District 8","DEM County Commission, District 9","DEM County Commission, District 9","DEM County Commission, District 10","DEM County Commission, District 10","DEM County Commission, District 11","DEM County Commission, District 11",DEM County Trustee,DEM County Trustee,DEM Sheriff,DEM Sheriff,DEM Circuit Court Clerk,DEM Circuit Court Clerk,DEM Criminal Court Clerk,DEM Criminal Court Clerk,DEM Juvenile Court Clerk,DEM Juvenile Court Clerk,DEM County Clerk,DEM County Clerk,DEM Register of Deeds,DEM Register of Deeds,"DEM County School Board, District 3","DEM County School Board, District 3","DEM County School Board, District 5","DEM County School Board, District 5","DEM County School Board, District 5","DEM County School Board, District 6","DEM County School Board, District 6","DEM County School Board, District 8","DEM County School Board, District 8","DEM County School Board, District 8","DEM County School Board, District 9","DEM County School Board, District 9",DEM Lookout Mountain School Board,DEM Lookout Mountain School Board,
,0029,EASTGATE,1966,345,29,316,24,0,24,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,0,25,0,9,17,0,24,0,23,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,250,8,0,0,0,0,0,0,0,0,0,119,196,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,18,0,16,281,3,0,14,0,13,0,13,0,0,155,155,0,0,0,0,0,0,0,0,0,0,
,0030,EASTSIDE,2640,219,49,170,42,4,37,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3,38,6,40,4,43,4,14,32,3,42,4,42,4,42,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,1,0,12,0,14,0,13,157,1,0,9,0,12,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0031,FAIRMOUNT,2776,351,282,69,222,3,240,6,0,0,158,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,2,242,1,224,3,64,161,3,219,2,228,1,229,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,69,0,0,0,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,58,0,0,7,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0032,FALLING WATER A,507,44,30,14,24,0,26,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,27,0,23,0,3,21,0,22,0,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0033,FALLING WATER B,972,121,106,15,92,0,92,5,0,0,37,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,97,0,89,0,25,62,1,87,0,84,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0034,FLAT TOP MOUNTAIN,497,45,37,8,34,0,30,4,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,35,0,33,1,9,23,0,31,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0035,GANNS,3587,266,186,80,169,2,168,4,0,0,0,0,0,167,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,1,173,1,174,2,49,118,0,174,1,171,1,171,1,164,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,76,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2,76,0,0,3,0,2,0,3,76,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0036,GLENWOOD,1782,309,23,286,21,1,15,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,19,2,19,1,3,15,0,19,1,19,1,19,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,215,5,0,0,0,0,0,0,0,0,0,128,153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12,0,10,257,2,0,11,0,9,0,10,0,0,135,136,0,0,0,0,0,0,0,0,0,0,
,0037,HARRISON,3450,495,313,182,258,3,261,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,241,1,0,0,0,0,0,271,6,261,8,268,3,73,196,1,267,4,256,5,256,5,0,0,0,0,0,0,0,0,0,169,119,2,0,0,0,13,165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,8,0,10,0,9,169,0,0,9,0,8,0,8,0,0,0,0,0,0,0,0,0,0,169,2,0,0,
,0038,HARRISON BAY,4154,606,506,100,436,3,450,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,374,1,0,0,0,0,0,474,3,473,2,454,5,105,352,4,449,2,442,3,447,4,0,0,0,0,0,0,0,0,0,271,214,3,0,0,0,6,91,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,6,0,5,0,4,91,0,0,3,0,5,0,5,0,0,0,0,0,0,0,0,0,0,95,0,0,0,
,0039,HIXSON,2032,192,97,95,90,1,84,4,0,0,0,0,0,88,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,1,90,2,89,1,24,69,1,87,2,88,1,90,1,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,90,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,5,89,0,0,5,0,8,0,7,92,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0040,HUNTER,4057,461,368,93,309,2,301,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,290,0,0,0,0,0,0,339,2,342,1,331,1,70,261,0,321,1,322,1,326,1,0,0,0,0,0,0,0,0,0,217,125,1,0,0,0,5,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,6,0,6,0,6,86,1,0,9,0,7,0,7,0,0,0,0,0,0,0,0,0,0,84,2,0,0,
,0041,HURRICANE CREEK,4465,377,214,163,192,4,180,16,0,0,0,0,0,0,0,0,0,0,0,0,0,191,12,0,0,0,0,0,0,0,0,0,0,202,1,204,3,192,4,30,164,2,200,2,199,2,201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,1,0,0,0,0,0,0,0,0,0,7,0,9,0,9,149,0,0,5,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0042,KINGSPOINT,1801,282,22,260,17,1,20,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,19,0,18,0,9,11,0,20,0,18,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,204,3,0,0,0,0,0,0,158,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,6,240,2,0,3,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0043,LAKE HILLS,1455,246,19,227,16,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,17,0,5,14,0,18,0,17,1,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,160,2,0,0,0,0,0,0,0,0,0,101,123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,5,198,2,0,6,0,8,0,8,0,0,79,145,0,0,0,0,0,0,0,0,0,0,
,0044,LAKESITE,1354,78,62,16,58,1,59,3,0,0,0,0,0,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,62,0,59,1,17,43,0,59,0,60,0,60,0,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0045,LOOKOUT MOUNTAIN,1527,77,54,23,50,1,44,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,51,0,53,0,52,0,16,35,0,51,0,51,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,4,0,3,0,3,21,0,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,
,0046,LOOKOUT VALLEY,4178,294,206,88,184,3,178,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,4,191,2,187,5,191,1,36,159,1,188,2,187,2,186,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,5,0,6,0,5,74,0,0,6,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0047,LUPTON CITY,2565,213,94,119,87,0,81,7,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,90,1,88,1,89,0,20,68,0,88,0,88,1,89,0,0,0,0,0,83,2,0,0,0,0,0,0,0,0,0,9,113,1,0,0,0,0,0,0,0,0,0,0,0,0,110,3,0,0,0,0,0,0,0,0,0,0,0,12,0,9,0,10,112,1,0,12,0,11,0,10,0,0,0,0,0,116,2,0,0,0,0,0,0,0,
,0048,MEADOWVIEW,3013,400,355,45,317,0,329,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,288,0,0,0,0,0,0,340,1,335,0,320,0,61,267,0,323,0,320,0,318,1,0,0,0,0,0,0,0,0,0,173,164,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,1,39,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,43,0,0,0,
,0049,MIDDLE VALLEY,2045,133,95,38,85,1,78,5,0,0,0,0,0,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1,90,2,87,1,22,70,1,87,1,87,1,90,1,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,2,34,0,0,2,0,3,0,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0050,MISSIONARY RIDGE,1416,152,47,105,38,2,36,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,38,2,40,3,38,3,18,26,0,38,2,39,2,38,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,3,0,5,0,5,0,5,95,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0051,MOUNTAIN CREEK A,3497,449,289,160,227,1,222,15,0,0,155,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,2,242,6,234,2,54,192,0,232,1,231,1,231,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,146,2,0,0,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,8,147,1,0,6,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0052,MOUNTAIN CREEK B,1359,128,72,56,57,1,61,3,0,0,45,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,65,1,61,0,19,39,1,56,1,59,0,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,54,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,5,50,0,0,5,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0053,MOUNTAIN CREEK C,182,12,3,9,3,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,1,2,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0054,MOWBRAY A,504,66,59,7,48,0,44,6,0,0,23,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,51,1,53,0,10,40,1,48,0,52,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0055,MOWBRAY B,674,76,67,9,60,0,61,2,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,63,0,62,0,9,52,0,62,0,62,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0056,MURRAY HILLS,1719,247,40,207,39,0,34,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,36,1,38,0,9,31,0,37,0,39,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,147,2,0,0,0,0,0,0,116,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,5,188,2,0,5,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0057,NORTH CHATTANOOGA A,1673,167,55,112,45,3,39,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,47,3,46,3,45,3,16,37,1,46,3,46,3,46,3,0,0,0,0,44,3,0,0,0,0,0,0,0,0,0,7,106,2,0,0,0,0,0,0,0,0,0,0,0,0,103,4,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,9,106,0,0,5,0,5,0,7,0,0,0,0,0,106,0,0,0,0,0,0,0,0,
,0058,NORTH CHATTANOOGA B,1135,65,18,47,16,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,17,0,3,13,0,17,0,17,0,17,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,
,0059,NORTHGATE,2878,223,123,100,115,0,113,2,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,119,1,119,0,27,86,0,116,0,111,0,115,0,111,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,94,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,4,96,0,0,2,0,2,0,2,97,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0060,NORTHSHORE,3053,311,74,237,65,1,61,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,66,2,64,2,63,1,18,48,1,63,1,60,1,66,1,0,0,0,0,61,3,0,0,0,0,0,0,0,0,0,13,228,3,0,0,0,0,0,0,0,0,0,0,0,0,225,1,0,0,0,0,0,0,0,0,0,0,0,14,0,12,0,9,218,1,0,12,0,12,0,13,0,0,0,0,0,230,2,0,0,0,0,0,0,0,
,0061,NORTHWOODS,3584,345,214,131,176,5,175,14,0,0,99,112,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,3,187,7,182,5,54,128,4,175,6,181,5,180,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,118,3,0,0,118,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,17,0,12,119,1,0,12,0,13,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0062,OOLTEWAH,4857,405,338,67,276,3,285,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,77,0,0,0,310,2,306,1,282,4,84,215,0,289,0,284,1,284,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,5,0,4,62,0,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0063,OOLTEWAH GEORGETOWN,2387,285,252,33,216,3,226,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,39,2,0,0,239,4,236,3,229,2,69,159,1,223,3,220,3,227,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,4,0,2,25,1,0,4,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0064,OOLTEWAH RINGGOLD,5204,321,204,117,190,1,184,9,0,0,0,0,0,0,0,0,0,0,0,0,0,188,8,0,0,0,0,0,0,0,0,0,0,198,4,198,1,193,2,48,144,0,196,0,194,1,198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,111,1,0,3,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0065,PLEASANT GROVE A,3291,247,156,91,139,3,128,14,0,0,0,0,0,142,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,1,143,5,144,2,36,111,1,144,1,143,1,139,3,136,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,87,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,4,87,0,0,4,0,4,0,4,86,2,0,0,0,0,0,0,0,0,0,0,0,0,
,0066,PLEASANT GROVE B,255,10,4,6,3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,1,3,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0067,POSSUM CREEK,3367,243,182,61,161,0,173,2,172,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,176,2,171,0,46,123,0,169,1,169,1,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,58,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,4,51,0,0,4,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0068,RED BANK A,3061,207,57,150,47,0,38,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,47,0,48,1,47,1,18,36,0,48,0,46,1,46,1,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,10,144,0,0,0,0,0,0,0,0,0,0,0,0,0,147,2,0,0,0,0,0,0,0,0,0,0,0,9,0,11,0,8,138,2,0,10,0,10,0,9,0,0,0,0,0,147,0,0,0,0,0,0,0,0,
,0069,RED BANK B,2396,156,74,82,63,0,62,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,66,0,69,0,61,0,28,42,0,62,0,61,1,65,1,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,4,81,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,3,80,0,0,3,0,3,0,3,0,0,0,0,0,79,1,0,0,0,0,0,0,0,
,0070,RED BANK C,1842,134,67,67,55,2,57,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,60,2,58,2,55,2,21,41,1,56,2,56,2,56,2,0,0,0,0,56,2,0,0,0,0,0,0,0,0,0,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,60,1,0,1,0,2,0,1,0,0,0,0,0,63,0,0,0,0,0,0,0,0,
,0071,RIDGEDALE,2070,386,20,366,20,0,17,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,1,20,0,3,15,0,20,0,19,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,298,10,0,0,0,0,0,0,95,265,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,19,0,17,327,0,0,15,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0072,RIDGESIDE,354,85,20,65,18,0,14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,17,0,16,0,1,19,0,17,0,16,0,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,58,0,0,0,0,0,0,0,0,0,0,13,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,55,0,0,1,0,4,0,4,0,0,27,32,1,0,0,0,0,0,0,0,0,0,
,0073,RIVERVIEW,1868,149,35,114,29,1,26,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,30,2,31,2,27,0,12,21,0,29,0,31,0,27,2,0,0,0,0,26,2,0,0,0,0,0,0,0,0,0,5,109,1,0,0,0,0,0,0,0,0,0,0,0,0,110,2,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,6,104,2,0,6,0,7,0,6,0,0,0,0,0,112,1,0,0,0,0,0,0,0,
,0074,SALE CREEK,2301,175,138,37,124,1,129,4,133,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,3,125,3,125,2,31,98,0,125,1,124,1,127,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,31,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0075,SAVANNAH BAY,3140,410,344,66,296,1,292,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,54,0,0,0,315,4,315,1,305,2,82,234,1,302,2,300,1,304,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,62,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,2,55,2,0,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0076,SEQUOYAH,2579,159,117,42,109,1,105,2,106,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,1,110,0,110,1,31,77,0,110,0,111,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,4,37,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0077,SIGNAL MOUNTAIN A,2290,310,237,73,197,3,194,14,0,0,172,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,2,202,6,197,3,59,141,0,199,2,203,2,202,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,69,0,0,0,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,68,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
